File Path,Project Name,File Name,Function Name,Log Type,Line Number,Classification
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_request_to_dict_is_json_serializable,Body,1784,[1]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_request_to_dict_is_json_serializable,Assertion,1801,[4]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_request_to_dict_is_json_serializable,Assertion,1805,[]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_response_to_dict,Body,1810,[1]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_response_to_dict,Assertion,1813,[]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_response_to_dict,Assertion,1814,[]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_response_to_dict,Assertion,1815,[]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_http_response_to_dict,Assertion,1816,[4]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_handles_binary_responses,Body,1820,[]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_handles_binary_responses,Assertion,1825,[]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_handles_binary_responses,Assertion,1826,[4]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_app.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_app.py,test_handles_binary_responses,Assertion,1827,[4]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_utils.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_utils.py,test_to_cfn_resource_name_properties,Body,126,[]
.\..\dataset\chalice-79838b02dc330cfe549823899d2662ded0538015\tests\unit\test_utils.py,chalice-79838b02dc330cfe549823899d2662ded0538015,test_utils.py,test_to_cfn_resource_name_properties,Assertion,134,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\property\test_add.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_add.py,test_add,Body,15,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\property\test_cross_version_persist.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_cross_version_persist.py,test_cycle_versions,Body,224,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\property\test_filtering.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_filtering.py,test_filterable_metadata_get,Body,148,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\property\test_filtering.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_filtering.py,test_filterable_metadata_get,Assertion,164,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\property\test_persist.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_persist.py,test_persist,Body,50,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_roundtrip_formats,Body,19,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_roundtrip_formats,Assertion,24,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_roundtrip_formats,Assertion,28,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_roundtrip_formats,Assertion,32,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_roundtrip_formats,Assertion,33,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_roundtrip_formats,Assertion,34,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_roundtrip_formats,Assertion,35,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_messageid_comparison,Body,59,[]
.\..\dataset\chroma-dedebb9624170b7ebb5a67ce292bed739819a76f\chromadb\test\utils\test_messagid.py,chroma-dedebb9624170b7ebb5a67ce292bed739819a76f,test_messagid.py,test_string_comparison,Body,92,[1]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Body,520,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,532,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,535,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,536,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,539,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,540,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,543,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,544,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\test_dataset.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_dataset.py,test_find_overlapping_classes_with_confident_joint,Assertion,548,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\datalab\test_data.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_data.py,test_init_data_properties,Body,50,[]
.\..\dataset\cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677\tests\datalab\test_data.py,cleanlab-7a5ebb974ac0f92ca68205929ffb9d0a10b40677,test_data.py,test_init_data_properties,Assertion,52,[]
